call: name=__stderr_write, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=format, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__stderr_write, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__stderr_write, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__stdin_readln, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__stdin_readln, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__str_array_join, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__str_array_join, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=normalize_seps, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=split_segments, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__file_open_raw, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=__file_close_raw, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=__file_seek_raw, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=__file_remove_raw, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=__file_rename_raw, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=__file_chmod_raw, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u64, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__read_u64_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u32, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u32, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u32, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=u32, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__file_stat_into, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=__read_u64_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__read_u64_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__read_u64_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__read_i32_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__file_fstat_into, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
call: name=__read_u64_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__read_u64_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__read_u64_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__read_i32_le, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__compute_flags, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__file_open, is_extern_c=false, is_builtin=false, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
